roi,cell_id,leiden_cluster,umap_1,umap_2,n_genes,total_counts,cell_type
Sample_007_Region,21268-sample_1_lv_0046706_007,5,12.796366,4.3228755,0,637,Pericyte_2
Sample_007_Region,21269-sample_1_lv_0046706_007,15,5.6803637,2.140318,0,275,Pericyte_2
Sample_007_Region,21270-sample_1_lv_0046706_007,22,10.03652,19.298887,0,409,Mono_mac
Sample_007_Region,21271-sample_1_lv_0046706_007,22,10.090236,19.195303,0,1027,Mono_mac
Sample_007_Region,21272-sample_1_lv_0046706_007,6,13.836155,15.5646715,0,381,Undifferentiated_KC
Sample_007_Region,21273-sample_1_lv_0046706_007,6,15.14295,15.316926,0,409,Undifferentiated_KC
Sample_007_Region,21274-sample_1_lv_0046706_007,6,13.013115,14.544624,0,464,Undifferentiated_KC
Sample_007_Region,21275-sample_1_lv_0046706_007,12,13.525943,7.5580225,0,112,Mono_mac
Sample_007_Region,21276-sample_1_lv_0046706_007,2,9.737172,6.46749,0,140,Tc
Sample_007_Region,21277-sample_1_lv_0046706_007,2,11.479341,7.4311576,0,245,F1
Sample_007_Region,21278-sample_1_lv_0046706_007,6,13.3602085,15.155716,0,715,Undifferentiated_KC
Sample_007_Region,21279-sample_1_lv_0046706_007,6,12.519629,13.442334,0,674,Undifferentiated_KC
Sample_007_Region,21280-sample_1_lv_0046706_007,6,12.655715,13.804887,0,546,Undifferentiated_KC
Sample_007_Region,21281-sample_1_lv_0046706_007,1,7.112566,10.06429,0,742,MigDC
Sample_007_Region,21282-sample_1_lv_0046706_007,20,16.646915,15.131765,0,772,Undifferentiated_KC
Sample_007_Region,21283-sample_1_lv_0046706_007,6,12.585774,13.795783,0,414,Undifferentiated_KC
Sample_007_Region,21284-sample_1_lv_0046706_007,4,15.4097,9.867572,0,319,Undifferentiated_KC
Sample_007_Region,21285-sample_1_lv_0046706_007,4,8.13645,8.954827,0,839,Undifferentiated_KC
Sample_007_Region,21286-sample_1_lv_0046706_007,6,12.632884,13.835614,0,559,Undifferentiated_KC
Sample_007_Region,21287-sample_1_lv_0046706_007,8,12.176534,0.8822741,0,480,Undifferentiated_KC
Sample_007_Region,21288-sample_1_lv_0046706_007,6,12.645608,13.771992,0,441,Undifferentiated_KC
Sample_007_Region,21289-sample_1_lv_0046706_007,6,12.58742,13.78242,0,880,Undifferentiated_KC
Sample_007_Region,21290-sample_1_lv_0046706_007,2,11.274528,6.762391,0,1186,F1
Sample_007_Region,21291-sample_1_lv_0046706_007,9,9.08971,13.72633,0,116,F1
Sample_007_Region,21292-sample_1_lv_0046706_007,4,15.411927,7.228971,0,125,Mono_mac
Sample_007_Region,21293-sample_1_lv_0046706_007,13,9.637624,11.774404,0,553,Th
Sample_007_Region,21294-sample_1_lv_0046706_007,2,11.252401,6.8962536,0,204,Th
Sample_007_Region,21295-sample_1_lv_0046706_007,6,12.62914,13.734755,0,613,Undifferentiated_KC
Sample_007_Region,21296-sample_1_lv_0046706_007,6,14.992305,15.530175,0,527,Undifferentiated_KC
Sample_007_Region,21297-sample_1_lv_0046706_007,14,10.9324875,3.6694212,0,237,moDC
Sample_007_Region,21298-sample_1_lv_0046706_007,9,9.740218,14.050204,0,813,Macro_1
Sample_007_Region,21299-sample_1_lv_0046706_007,2,9.854155,6.7462535,0,156,F1
Sample_007_Region,21300-sample_1_lv_0046706_007,10,13.595991,9.969073,0,359,F1
Sample_007_Region,21301-sample_1_lv_0046706_007,23,6.336791,18.7501,0,439,Undifferentiated_KC
Sample_007_Region,21302-sample_1_lv_0046706_007,14,12.159283,4.0256,0,274,Undifferentiated_KC
Sample_007_Region,21303-sample_1_lv_0046706_007,14,11.752192,4.387131,0,198,Undifferentiated_KC
Sample_007_Region,21304-sample_1_lv_0046706_007,14,11.234316,4.080127,0,395,Melanocyte
Sample_007_Region,21305-sample_1_lv_0046706_007,1,9.838602,9.074984,0,145,F3
Sample_007_Region,21306-sample_1_lv_0046706_007,9,9.436129,13.868583,0,242,F2
Sample_007_Region,21307-sample_1_lv_0046706_007,0,-2.790291,8.20093,0,210,F2
Sample_007_Region,21308-sample_1_lv_0046706_007,5,8.955523,3.556884,0,147,Schwann_1
Sample_007_Region,21309-sample_1_lv_0046706_007,1,11.990513,10.920848,0,270,F1
Sample_007_Region,21310-sample_1_lv_0046706_007,14,11.6879425,4.044235,0,152,F1
Sample_007_Region,21311-sample_1_lv_0046706_007,7,15.924869,12.148058,0,1114,Undifferentiated_KC
Sample_007_Region,21312-sample_1_lv_0046706_007,6,12.535924,13.834429,0,183,Undifferentiated_KC
Sample_007_Region,21313-sample_1_lv_0046706_007,6,13.007943,14.127973,0,956,Undifferentiated_KC
Sample_007_Region,21314-sample_1_lv_0046706_007,3,7.254977,5.4476123,0,68,F1
Sample_007_Region,21317-sample_1_lv_0046706_007,3,7.718963,4.6882772,0,250,Mono_mac
Sample_007_Region,21421-sample_1_lv_0046706_007,29,2.839068,3.449516,0,232,Undifferentiated_KC
Sample_007_Region,21422-sample_1_lv_0046706_007,1,4.340144,0.09734915,0,125,Undifferentiated_KC
Sample_007_Region,21423-sample_1_lv_0046706_007,1,4.3433614,0.12181428,0,134,Tc
Sample_007_Region,21424-sample_1_lv_0046706_007,7,15.754356,12.990807,0,131,Undifferentiated_KC
Sample_007_Region,21425-sample_1_lv_0046706_007,0,-5.4501686,8.356839,0,63,Undifferentiated_KC
Sample_007_Region,21426-sample_1_lv_0046706_007,0,-4.74126,7.903446,0,242,Undifferentiated_KC
Sample_007_Region,21427-sample_1_lv_0046706_007,29,3.0015197,2.8492951,0,394,Undifferentiated_KC
Sample_007_Region,21428-sample_1_lv_0046706_007,29,2.4238148,3.1725795,0,184,Undifferentiated_KC
Sample_007_Region,21429-sample_1_lv_0046706_007,6,12.897414,14.528542,0,374,Undifferentiated_KC
Sample_007_Region,21430-sample_1_lv_0046706_007,1,8.604149,8.89978,0,673,F1
Sample_007_Region,21431-sample_1_lv_0046706_007,26,7.4351954,-5.502894,0,354,Th
Sample_007_Region,21432-sample_1_lv_0046706_007,11,11.896009,9.463697,0,483,F3
Sample_007_Region,21433-sample_1_lv_0046706_007,2,10.472096,7.5832224,0,377,F2
Sample_007_Region,21434-sample_1_lv_0046706_007,9,8.98981,13.283961,0,142,F2
Sample_007_Region,21435-sample_1_lv_0046706_007,15,4.8487835,2.100029,0,186,VE2
